cluster	rank	gene	score	logfoldchange	pval	pval_adj
11	4	XCL1	29.252796173095703	4.594489097595215	4.1372099689658475e-188	2.8108204529153966e-184
11	5	TRDC	29.19398307800293	4.769912242889404	2.312104288612367e-187	1.2566749229465937e-183
11	6	IL2RB	28.987003326416016	3.5628654956817627	9.59512595168041e-185	4.345952381047781e-181
11	7	KLRB1	28.224863052368164	3.5382111072540283	2.89711653451238e-175	1.1247434134558348e-171
11	8	XCL2	27.72434425354004	4.205924034118652	3.5531915488136174e-169	1.2070191691319857e-165
11	9	IFITM2	27.651939392089844	2.138190269470215	2.6449222430095935e-168	7.986489652892079e-165
11	10	KLRD1	27.61175537109375	3.8090052604675293	8.040008607222014e-168	2.1849527390986544e-164
11	11	IFITM1	27.03194236755371	2.3256871700286865	6.228254001890489e-161	1.5387184614125085e-157
11	12	MATK	25.980018615722656	3.2942678928375244	8.330417900413549e-149	1.8865619738469885e-145
11	13	CLIC3	25.08368492126465	3.4136719703674316	7.49416481124371e-139	1.566626330079685e-135
11	14	CMC1	24.52677345275879	3.439842939376831	7.654500124869642e-133	1.4858478242389813e-129
11	15	STK17A	24.059917449951172	2.204134941101074	6.573229016482518e-128	1.190893811679526e-124
11	16	HCST	23.164175033569336	1.7955849170684814	1.046336130896278e-118	1.777201918327328e-115
11	17	SH2D1B	22.489177703857422	4.362947940826416	5.297233981272044e-112	8.46809592206171e-109
11	18	TYROBP	22.085691452026367	3.155606985092163	4.338523773887589e-108	6.550206782176062e-105
11	19	CCL5	21.90875816345215	3.1239616870880127	2.1435142364458295e-106	3.065902257350098e-103
11	20	KLRC1	21.14558982849121	4.261768817901611	3.0297814261656475e-99	4.116867001873882e-96
12	1	HLA-DRA	23.423175811767578	4.035894870758057	2.4815583237681252e-121	2.2479609668907524e-117
12	2	CD74	22.472396850585938	2.9926440715789795	7.730326169714967e-112	3.501322399802899e-108
12	3	HLA-DPB1	22.292457580566406	3.2915289402008057	4.3731210668910854e-110	1.6977705444833164e-106
12	4	FTL	20.705591201782227	2.8599812984466553	3.08426740471515e-95	7.61982281732172e-92
12	5	TMSB4X	20.00487518310547	1.1580820083618164	4.994261162315221e-89	1.0440310872852187e-85
12	6	HLA-DPA1	19.865638732910156	2.943476915359497	8.07183986790297e-88	1.5668594303580792e-84
12	7	HLA-DQA1	17.97931671142578	3.393869161605835	2.829599893324126e-72	2.848044692628758e-69
12	8	C1QB	17.11418342590332	4.530826568603516	1.1633445896649903e-65	9.032872162495936e-63
12	9	C1QC	17.08734130859375	4.679237365722656	1.8439034820826912e-65	1.3624793394203363e-62
12	10	C1QA	17.05064582824707	4.386638164520264	3.456934715559705e-65	2.408863021283347e-62
12	11	AIF1	16.85687828063965	3.0654563903808594	9.339309406354088e-64	6.042977914930445e-61
12	12	GAPDH	15.889148712158203	0.9970382452011108	7.5343632111208e-57	3.6563188325967653e-54
12	13	HLA-DRB1	15.869068145751953	2.5458834171295166	1.0376972164233467e-56	4.9474490444773454e-54
12	14	PPIA	15.529909133911133	0.7863635420799255	2.176880474867742e-54	8.699838791912612e-52
12	15	TMSB10	14.816061973571777	0.8302106857299805	1.1535130705647344e-49	4.124719895482529e-47
12	16	TYROBP	13.927837371826172	2.380472421646118	4.291544208324587e-44	1.1662700540542899e-41
12	17	CD68	13.822283744812012	2.9491286277770996	1.8703953040539324e-43	4.887486806054776e-41
12	18	FTH1	13.652402877807617	1.2881958484649658	1.9532895036535578e-42	4.825690504662644e-40
12	19	HLA-DQB1	13.569307327270508	2.774085283279419	6.089469204279208e-42	1.477566206209748e-39
12	20	APOC1	13.306967735290527	4.0274338722229	2.1086766756662064e-40	4.476984167023814e-38
13	1	LYZ	31.316585540771484	7.478980541229248	2.7748032977785567e-215	7.540805442043005e-211
13	2	S100A8	29.93367576599121	7.445799350738525	7.177054663157656e-197	9.752181876298622e-193
13	3	IER2	29.862319946289062	4.201605319976807	6.074374079329374e-196	5.502572999328503e-192
13	4	CTSS	29.36642837524414	4.505702972412109	1.4743229170296614e-189	1.001654989829952e-185
13	5	S100A9	29.150083541870117	6.394848346710205	8.333789963976839e-187	4.529581521220691e-183
13	6	FCN1	28.78001594543457	5.942961692810059	3.815795133494687e-182	1.72830080913086e-178
13	7	S100A6	28.72756004333496	3.1288678646087646	1.7275498861011512e-181	6.706842243526413e-178
13	8	CCL3L1	27.482088088989258	6.386030197143555	2.8746258884250533e-166	9.765104142979906e-163
13	9	CSTA	27.335302352905273	5.445134162902832	1.6149087329585948e-164	4.8763066363203084e-161
13	10	NFKBIA	27.230690002441406	4.081975936889648	2.814052550610556e-163	7.647469211539246e-160
13	11	NEAT1	26.945390701293945	3.4168620109558105	6.459647477817979e-160	1.5958852714289217e-156
13	12	H3F3A	26.243080139160156	1.7967841625213623	8.573242194770884e-152	1.9415535823757795e-148
13	13	VCAN	26.13205337524414	5.660411834716797	1.5765784270985737e-150	3.295776564217757e-147
13	14	S100A12	25.970693588256836	7.079108238220215	1.0617067385683796e-148	2.060924451952449e-145
13	15	ATP2B1-AS1	25.817264556884766	4.996395111083984	5.675122166122562e-147	1.0281807999103117e-143
13	16	AIF1	25.709781646728516	4.307261943817139	9.086767956572521e-146	1.5433875374238426e-142
13	17	S100A4	25.6383113861084	2.5586471557617188	5.708288296200744e-145	9.125202513973614e-142
13	18	SERPINA1	25.604808807373047	4.573089599609375	1.348548647286511e-144	2.036008779925457e-141
