Cluster	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
B/Plasma	Human Diseases	Endocrine and metabolic disease	hsa04940	Type I diabetes mellitus	12/187	42/7622	0.285714285714286	11.6455309396486	10.9709356202489	1.94399993509841e-10	6.02243255582135e-09	6.02243255582135e-09	3122/3115/3117/3112/3127/3119/3123/3109/3111/3113/3002/3108	12
B/Plasma	Human Diseases	Infectious disease: parasitic	hsa05140	Leishmaniasis	15/187	74/7622	0.202702702702703	8.2620320855615	9.95507130711387	2.0589513011355e-10	6.02243255582135e-09	6.02243255582135e-09	3122/3115/3117/5777/3112/3127/1915/3119/3725/3123/3109/653361/3111/3113/3108	15
B/Plasma	Genetic Information Processing	Folding, sorting and degradation	hsa03060	Protein export	10/187	28/7622	0.357142857142857	14.5569136745607	11.3970078538662	5.55998096419557e-10	1.5011948603328e-08	1.5011948603328e-08	23480/58477/28972/29100/29927/90701/3309/10952/9789/60559	10
B/Plasma	Human Diseases	Immune disease	hsa05322	Systemic lupus erythematosus	12/187	52/7622	0.230769230769231	9.40600575894694	9.64561032802672	2.9278397485981e-09	7.34051251255667e-08	7.34051251255667e-08	3122/3115/3117/3112/3127/3119/3123/3109/3111/3113/958/3108	12
B/Plasma	Human Diseases	Cardiovascular disease	hsa05416	Viral myocarditis	13/187	64/7622	0.203125	8.27924465240642	9.27383056424169	3.38225176737207e-09	7.91446913565064e-08	7.91446913565064e-08	3122/3115/3117/3112/3127/3119/1604/3123/3109/3111/3113/958/3108	13
B/Plasma	Human Diseases	Infectious disease: viral	hsa05168	Herpes simplex virus 1 infection	19/187	160/7622	0.11875	4.84017379679144	7.78519592296859	1.02183147484055e-08	2.24164279793146e-07	2.24164279793146e-07	3122/3115/3117/3112/3665/55080/330/3127/3119/3123/6850/6672/5452/3109/972/3111/3113/3454/3108	19
B/Plasma	Human Diseases	Immune disease	hsa05321	Inflammatory bowel disease	12/187	64/7622	0.1875	7.64237967914439	8.46245821225186	3.60231770797146e-08	7.43772656175284e-07	7.43772656175284e-07	3122/3115/3117/3112/3127/3119/3725/3123/3109/3111/3113/3108	12
B/Plasma	Human Diseases	Infectious disease: parasitic	hsa05145	Toxoplasmosis	15/187	110/7622	0.136363636363636	5.55809431210501	7.63639100807444	6.12633368491607e-08	1.19463506855863e-06	1.19463506855863e-06	3122/3115/3117/3112/330/3127/4261/3119/3123/3109/3111/3113/958/3108/3304	15
B/Plasma	Organismal Systems	Immune system	hsa04659	Th17 cell differentiation	14/187	106/7622	0.132075471698113	5.3833114721017	7.20689470109602	2.58052994544406e-07	4.76718953079402e-06	4.76718953079402e-06	3122/3115/3117/3112/3127/3119/3725/3123/3109/3111/3326/3113/3662/3108	14
B/Plasma	Human Diseases	Immune disease	hsa05323	Rheumatoid arthritis	13/187	91/7622	0.142857142857143	5.82276546982429	7.33967471200383	2.76521828771424e-07	4.85295809493848e-06	4.85295809493848e-06	3122/3115/3117/3112/3127/3119/3725/3123/3109/4050/3111/3113/3108	13
