Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
T/NK	GO:0002369	T cell cytokine production	5/327	39/15651	0.128205128205128	6.13620324629499	4.69126762248577	0.00124090536472375	0.0172463381317036	0.0172463381317036	XCL1/TBX21/B2M/HLA-A/CD7	5
T/NK	GO:0002724	regulation of T cell cytokine production	5/327	39/15651	0.128205128205128	6.13620324629499	4.69126762248577	0.00124090536472375	0.0172463381317036	0.0172463381317036	XCL1/TBX21/B2M/HLA-A/CD7	5
T/NK	GO:1902622	regulation of neutrophil migration	5/327	39/15651	0.128205128205128	6.13620324629499	4.69126762248577	0.00124090536472375	0.0172463381317036	0.0172463381317036	XCL1/RIPOR2/RAC2/CCR7/CD99	5
T/NK	GO:2000403	positive regulation of lymphocyte migration	5/327	39/15651	0.128205128205128	6.13620324629499	4.69126762248577	0.00124090536472375	0.0172463381317036	0.0172463381317036	XCL1/CCL3/CCL4/SPN/CCL5	5
T/NK	GO:0009266	response to temperature stimulus	9/327	125/15651	0.072	3.44609174311927	4.010910146072	0.00124526661588887	0.0172463381317036	0.0172463381317036	HSP90AB1/CIRBP/HSP90AA1/SOD1/DNAJB1/PSIP1/EEF1D/DNAJA1/NFKBIA	9
T/NK	GO:0045727	positive regulation of translation	9/327	125/15651	0.072	3.44609174311927	4.010910146072	0.00124526661588887	0.0172463381317036	0.0172463381317036	PRKCH/CIRBP/EEF2/PPP1R15A/CD28/NPM1/PABPC1/CCL5/EIF3E	9
T/NK	GO:0002761	regulation of myeloid leukocyte differentiation	8/327	101/15651	0.0792079207920792	3.79108002543374	4.11067133474649	0.00124981133884659	0.0172673692480839	0.0172673692480839	TGFB1/IFNG/CCL3/TYROBP/MYC/ID2/LEF1/CAMK4	8
T/NK	GO:0045807	positive regulation of endocytosis	10/327	151/15651	0.0662251655629139	3.16969439212589	3.91350746589394	0.00128744141409488	0.0177443012290468	0.0177443012290468	PTPRC/IFNG/LDLRAP1/LYAR/SOD1/CCR7/BIN1/STAT3/B2M/IL2RB	10
T/NK	GO:0062207	regulation of pattern recognition receptor signaling pathway	11/327	178/15651	0.0617977528089888	2.95778785692197	3.83736707102026	0.00131619046771414	0.018013650172379	0.018013650172379	IRF1/BIRC3/GBP5/TNFAIP3/NOP53/PIK3R1/HSPA8/PTPN22/ABHD17A/CD300A/HMGB1	11
T/NK	GO:0033625	positive regulation of integrin activation	3/327	11/15651	0.272727272727273	13.0533778148457	5.84159862835055	0.00131645498105188	0.018013650172379	0.018013650172379	PLEK/RAP1B/SKAP1	3
T/NK	GO:0070669	response to interleukin-2	3/327	11/15651	0.272727272727273	13.0533778148457	5.84159862835055	0.00131645498105188	0.018013650172379	0.018013650172379	EZR/STAT3/IL2RB	3
T/NK	GO:0032728	positive regulation of interferon-beta production	5/327	40/15651	0.125	5.98279816513761	4.6092780285809	0.00139424892420095	0.0189870748484263	0.0189870748484263	IRF1/TRADD/TRAF3IP3/HSP90AA1/HMGB1	5
T/NK	GO:0042119	neutrophil activation	5/327	40/15651	0.125	5.98279816513761	4.6092780285809	0.00139424892420095	0.0189870748484263	0.0189870748484263	TYROBP/FCER1G/CD300A/ITGB2/CCL5	5
T/NK	GO:0042542	response to hydrogen peroxide	7/327	80/15651	0.0875	4.18795871559633	4.17584533954292	0.00140378474824511	0.0190261182268091	0.0190261182268091	KLF2/TXNIP/SOD1/TNFAIP3/EEF2/DUSP1/FYN	7
T/NK	GO:0051098	regulation of binding	7/327	80/15651	0.0875	4.18795871559633	4.17584533954292	0.00140378474824511	0.0190261182268091	0.0190261182268091	LDLRAP1/RIPOR2/PYHIN1/LEF1/JUN/RACK1/HMGB1	7
T/NK	GO:0032753	positive regulation of interleukin-4 production	4/327	24/15651	0.166666666666667	7.97706422018349	4.99672572018876	0.00142836991056611	0.019267798368062	0.019267798368062	CD40LG/HLA-E/FCER1G/CD28	4
T/NK	GO:0090023	positive regulation of neutrophil chemotaxis	4/327	24/15651	0.166666666666667	7.97706422018349	4.99672572018876	0.00142836991056611	0.019267798368062	0.019267798368062	XCL1/RIPOR2/RAC2/CCR7	4
T/NK	GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	11/327	180/15651	0.0611111111111111	2.92492354740061	3.79433367576481	0.00143982659023025	0.0193765342543722	0.0193765342543722	IRF1/TRAF3IP3/BIRC3/GBP5/CYLD/TNFAIP3/NOP53/HSPA8/PTPN22/ABHD17A/HMGB1	11
