gene	cluster	rank	score	logfoldchange	pval	pval_adj	n_cells	dominant_existing_celltype	classic_marker_based_label	proposed_global_annotation	broad_annotation	is_technical	neg_log10_padj	de_status	ENTREZID
SPP1	4	126	39.8969764709473	6.77852773666382	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	6696
RNASE1	4	24	52.0181083679199	6.53561973571777	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	6035
GPNMB	4	45	48.7808494567871	6.3324146270752	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	10457
CST3	5	1	54.8633270263672	6.15637540817261	0	0	1311	Classical Mono_C1	Myeloid/TAM	Myeloid/TAM | ref:Classical Mono_C1	Myeloid/TAM	FALSE	300	up	1471
PLTP	4	40	49.1634750366211	6.09847211837769	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	5360
TREM2	4	35	50.1373901367188	6.02201557159424	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	54209
CTSL	4	5	58.387767791748	5.97033643722534	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	1514
LGMN	4	21	53.1436996459961	5.85109329223633	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	5641
FN1	4	96	42.4367218017578	5.82258367538452	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	2335
DAB2	4	18	54.2321929931641	5.80027484893799	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	1601
CTSB	4	1	60.7546424865723	5.67144441604614	0	0	1429	TAM_C0	Myeloid/TAM	Myeloid/TAM | ref:TAM_C0	Myeloid/TAM	FALSE	300	up	1508
